city,zip
"Grahovo ob Bači, SI","5242, SI"
"Podbrdo, SI","5243, SI"
"Solkan, SI","5250, SI"
"Grgar, SI","5251, SI"
"Trnovo pri Gorici, SI","5252, SI"
"Čepovan, SI","5253, SI"
"Šempas, SI","5261, SI"
"Črniče, SI","5262, SI"
"Dobravlje, SI","5263, SI"
"Ajdovščina, SI","5270, SI"
"Vipava, SI","5271, SI"
"Podnanos, SI","5272, SI"
"Col, SI","5273, SI"
"Črni Vrh nad Idrijo, SI","5274, SI"
"Godovič, SI","5275, SI"
"Idrija, SI","5280, SI"
"Spodnja Idrija, SI","5281, SI"
"Cerkno, SI","5282, SI"
"Slap ob Idrijci, SI","5283, SI"
"Šempeter pri Gorici, SI","5290, SI"
"Miren, SI","5291, SI"
"Renče, SI","5292, SI"
"Volčja Draga, SI","5293, SI"
"Dornberk, SI","5294, SI"
"Branik, SI","5295, SI"
"Kostanjevica na Krasu, SI","5296, SI"
"Prvačina, SI","5297, SI"
"Nova Gorica, SI","5600, SI"
"Koper/Capodistria - dostava, SI","6000, SI"
"Koper/Capodistria - poštni predali, SI","6001, SI"
"Sežana, SI","6210, SI"
"Divača, SI","6215, SI"
"Podgorje, SI","6216, SI"
"Vremski Britof, SI","6217, SI"
"Lokev, SI","6219, SI"
"Dutovlje, SI","6221, SI"
"Štanjel, SI","6222, SI"
"Komen, SI","6223, SI"
"Senožeče, SI","6224, SI"
"Hruševje, SI","6225, SI"
"Postojna, SI","6230, SI"
"Planina, SI","6232, SI"
"Kozina, SI","6240, SI"
"Materija, SI","6242, SI"
"Obrov, SI","6243, SI"
"Podgrad, SI","6244, SI"
"Ilirska Bistrica, SI","6250, SI"
"Ilirska Bistrica-Trnovo, SI","6251, SI"
"Knežak, SI","6253, SI"
"Jelšane, SI","6254, SI"
"Prem, SI","6255, SI"
"Košana, SI","6256, SI"
"Pivka, SI","6257, SI"
"Prestranek, SI","6258, SI"
"Dekani, SI","6271, SI"
"Gračišče, SI","6272, SI"
"Marezige, SI","6273, SI"
"Šmarje, SI","6274, SI"
"Črni Kal, SI","6275, SI"
"Pobegi, SI","6276, SI"
"Ankaran/Ancarano, SI","6280, SI"
"Škofije, SI","6281, SI"
"Izola/Isola, SI","6310, SI"
"Portorož/Portorose, SI","6320, SI"
"Strunjan/Strugnano (sezonska pošta), SI","6323, SI"
