city,zip
"Veliki Izvor, RS","19206, RS"
"Lubnica, RS","19208, RS"
"Mali Jasenovac, RS","19209, RS"
"Bor, RS","19210, RS"
"Donja Bela Reka, RS","19213, RS"
"Rgotina, RS","19214, RS"
"Zlot, RS","19215, RS"
"Brestovačka Banja, RS","19216, RS"
"Krivelj, RS","19219, RS"
"Donji Milanovac, RS","19220, RS"
"Slatina, RS","19221, RS"
"Klokočevac, RS","19222, RS"
"Koprivnica, RS","19223, RS"
"Salaš, RS","19224, RS"
"Sikole, RS","19225, RS"
"Oštrelj, RS","19226, RS"
"Zvezdan, RS","19227, RS"
"Gamzigradska Banja, RS","19228, RS"
"Borski Brestovac, RS","19229, RS"
"Podgorac, RS","19233, RS"
"Luka, RS","19234, RS"
"Velika Jasikova, RS","19235, RS"
"Majdanpek, RS","19250, RS"
"Rudna Glava, RS","19257, RS"
"Vlaole, RS","19258, RS"
"Negotin, RS","19300, RS"
"Štubik, RS","19303, RS"
"Jabukovac, RS","19304, RS"
"Urovica, RS","19305, RS"
"Trnjane, RS","19306, RS"
"Plavna, RS","19307, RS"
"Negotin, RS","19310, RS"
"Nikoličevo, RS","19311, RS"
"Vražogrnac, RS","19312, RS"
"Brusnik, RS","19313, RS"
"Rajac, RS","19314, RS"
"Braćevac, RS","19315, RS"
"Kobišnica, RS","19316, RS"
"Mokranja, RS","19317, RS"
"Rogljevo, RS","19318, RS"
"Kladovo, RS","19320, RS"
"Podvrška, RS","19321, RS"
"Mihajlovac, RS","19322, RS"
"Brza Palanka, RS","19323, RS"
"Tekija, RS","19325, RS"
"Sip, RS","19326, RS"
"Grabovica, RS","19327, RS"
"Velesnica, RS","19328, RS"
"Korbovo, RS","19329, RS"
"Prahovo, RS","19330, RS"
"Radujevac, RS","19334, RS"
"Dušanovac, RS","19335, RS"
"Minićevo, RS","19340, RS"
"Grljan, RS","19341, RS"
"Grlište, RS","19342, RS"
"Lenovac, RS","19343, RS"
"Vratarnica, RS","19344, RS"
"Donje Zuniče, RS","19345, RS"
"Mali Izvor, RS","19347, RS"
"Knjaževac, RS","19350, RS"
"Donja Kamenica, RS","19352, RS"
"Kalna, RS","19353, RS"
"Podvis, RS","19362, RS"
"Beli Potok, RS","19366, RS"
"Vasilj, RS","19367, RS"
