state,city,zip
"Khyber Pakhtunkhwa, PK","Khar (Bajaur Agency), PK","18650, PK"
"Khyber Pakhtunkhwa, PK","Ziarat (Dir), PK","18700, PK"
"Khyber Pakhtunkhwa, PK","Ouch (Dir), PK","18750, PK"
"Khyber Pakhtunkhwa, PK","Pir Khel, PK","18760, PK"
"Khyber Pakhtunkhwa, PK","Chakdara, PK","18800, PK"
"Khyber Pakhtunkhwa, PK","Bahrain, PK","19010, PK"
"Khyber Pakhtunkhwa, PK","Madyan, PK","19020, PK"
"Khyber Pakhtunkhwa, PK","Fatehpur, PK","19030, PK"
"Khyber Pakhtunkhwa, PK","Matta, PK","19040, PK"
"Khyber Pakhtunkhwa, PK","Chuprial, PK","19044, PK"
"Khyber Pakhtunkhwa, PK","Bara Darwesh Khela, PK","19050, PK"
"Khyber Pakhtunkhwa, PK","Kabal, PK","19060, PK"
"Khyber Pakhtunkhwa, PK","Davlai, PK","19070, PK"
"Khyber Pakhtunkhwa, PK","Kana, PK","19080, PK"
"Khyber Pakhtunkhwa, PK","Chakisar, PK","19090, PK"
"Khyber Pakhtunkhwa, PK","Alpurai, PK","19100, PK"
"Khyber Pakhtunkhwa, PK","Khawaza Khela, PK","19110, PK"
"Khyber Pakhtunkhwa, PK","Charbagh, PK","19120, PK"
"Khyber Pakhtunkhwa, PK","Mangora, PK","19130, PK"
"Khyber Pakhtunkhwa, PK","Gulkada (Distt. Court), PK","19132, PK"
"Khyber Pakhtunkhwa, PK","Aman Kot, PK","19140, PK"
"Khyber Pakhtunkhwa, PK","Aloch, PK","19150, PK"
"Khyber Pakhtunkhwa, PK","Saidu Sharif Gpo, PK","19200, PK"
"Khyber Pakhtunkhwa, PK","Damori, PK","19204, PK"
"Khyber Pakhtunkhwa, PK","Rahim Abad, PK","19210, PK"
"Khyber Pakhtunkhwa, PK","Hodigram, PK","19220, PK"
"Khyber Pakhtunkhwa, PK","Ghalegi, PK","19230, PK"
"Khyber Pakhtunkhwa, PK","Barikot, PK","19240, PK"
"Khyber Pakhtunkhwa, PK","Zara Khela, PK","19250, PK"
"Khyber Pakhtunkhwa, PK","Jewar, PK","19260, PK"
"Khyber Pakhtunkhwa, PK","Tor Warsak, PK","19270, PK"
"Khyber Pakhtunkhwa, PK","Pipal Bazar, PK","19280, PK"
"Khyber Pakhtunkhwa, PK","Dassu, PK","20100, PK"
"Khyber Pakhtunkhwa, PK","Pattan, PK","20200, PK"
"Khyber Pakhtunkhwa, PK","Ranolia, PK","20300, PK"
"Khyber Pakhtunkhwa, PK","Sholgaraha, PK","20400, PK"
"Khyber Pakhtunkhwa, PK","Besham, PK","20500, PK"
"Khyber Pakhtunkhwa, PK","Biari Ayub Khan, PK","21010, PK"
"Khyber Pakhtunkhwa, PK","Muslim Abad, PK","21020, PK"
"Khyber Pakhtunkhwa, PK","Thakot, PK","21030, PK"
"Khyber Pakhtunkhwa, PK","Banna, PK","21032, PK"
"Khyber Pakhtunkhwa, PK","Rashang, PK","21036, PK"
"Khyber Pakhtunkhwa, PK","Battagram, PK","21040, PK"
"Khyber Pakhtunkhwa, PK","Peshora, PK","21042, PK"
"Khyber Pakhtunkhwa, PK","Batamohri, PK","21044, PK"
"Khyber Pakhtunkhwa, PK","Saden Mira, PK","21046, PK"
"Khyber Pakhtunkhwa, PK","Bansair, PK","21050, PK"
"Khyber Pakhtunkhwa, PK","Koza Banda, PK","21060, PK"
"Khyber Pakhtunkhwa, PK","Chohan, PK","21062, PK"
"Khyber Pakhtunkhwa, PK","Chatar Plain, PK","21070, PK"
"Khyber Pakhtunkhwa, PK","Bali Mang, PK","21080, PK"
"Khyber Pakhtunkhwa, PK","Battal, PK","21090, PK"
"Khyber Pakhtunkhwa, PK","Haji Abad, PK","21100, PK"
"Khyber Pakhtunkhwa, PK","Baffa, PK","21110, PK"
"Khyber Pakhtunkhwa, PK","Hazara University, PK","21120, PK"
"Khyber Pakhtunkhwa, PK","Dhudial (Mansehra), PK","21130, PK"
"Khyber Pakhtunkhwa, PK","Shinkiari, PK","21140, PK"
"Khyber Pakhtunkhwa, PK","Shinkiari Camp, PK","21150, PK"
"Khyber Pakhtunkhwa, PK","Dadar, PK","21160, PK"
"Khyber Pakhtunkhwa, PK","Jabori, PK","21170, PK"
"Khyber Pakhtunkhwa, PK","Naran, PK","21200, PK"
"Khyber Pakhtunkhwa, PK","Kaghan, PK","21210, PK"
"Khyber Pakhtunkhwa, PK","Mohandri Bazar, PK","21220, PK"
"Khyber Pakhtunkhwa, PK","Balakot, PK","21230, PK"
"Khyber Pakhtunkhwa, PK","Ghari Habibullah, PK","21240, PK"
"Khyber Pakhtunkhwa, PK","Batrasi Camp, PK","21250, PK"
"Khyber Pakhtunkhwa, PK","Chakia, PK","21270, PK"
"Khyber Pakhtunkhwa, PK","Mansehra Gpo, PK","21300, PK"
"Khyber Pakhtunkhwa, PK","Chitta Batta, PK","21304, PK"
"Khyber Pakhtunkhwa, PK","Mansehra City, PK","21310, PK"
"Khyber Pakhtunkhwa, PK","Manglore, PK","21330, PK"
"Khyber Pakhtunkhwa, PK","Bher Kund, PK","21340, PK"
"Khyber Pakhtunkhwa, PK","Khaki, PK","21350, PK"
"Khyber Pakhtunkhwa, PK","Muradpur, PK","21360, PK"
"Khyber Pakhtunkhwa, PK","Parhena, PK","21370, PK"
"Khyber Pakhtunkhwa, PK","Phulra, PK","21380, PK"
"Khyber Pakhtunkhwa, PK","Lassan Nawab, PK","21390, PK"
"Khyber Pakhtunkhwa, PK","Oghi, PK","21400, PK"
"Khyber Pakhtunkhwa, PK","Sham Dhera, PK","21410, PK"
"Khyber Pakhtunkhwa, PK","Qilagay, PK","21420, PK"
"Khyber Pakhtunkhwa, PK","Dilbori, PK","21430, PK"
"Khyber Pakhtunkhwa, PK","Belian, PK","21440, PK"
"Khyber Pakhtunkhwa, PK","Sher Garh (Mansehra), PK","21450, PK"
"Khyber Pakhtunkhwa, PK","Darband, PK","21460, PK"
"Khyber Pakhtunkhwa, PK","Qalanderabad, PK","22000, PK"
"Khyber Pakhtunkhwa, PK","Abbottabad Gpo, PK","22010, PK"
"Khyber Pakhtunkhwa, PK","Abbottabad Public School, PK","22030, PK"
"Khyber Pakhtunkhwa, PK","Ayub Medical College Abbottabad, PK","22040, PK"
"Khyber Pakhtunkhwa, PK","Mandian, PK","22044, PK"
"Khyber Pakhtunkhwa, PK","Jhangi, PK","22050, PK"
"Khyber Pakhtunkhwa, PK","Toba Camp, PK","22060, PK"
"Khyber Pakhtunkhwa, PK","Kakul, PK","22070, PK"
"Khyber Pakhtunkhwa, PK","Nawan Shahr, PK","22080, PK"
"Khyber Pakhtunkhwa, PK","Sheikhul Bandi, PK","22090, PK"
"Khyber Pakhtunkhwa, PK","Kuthiala, PK","22100, PK"
"Khyber Pakhtunkhwa, PK","Richh Bhan, PK","22106, PK"
"Khyber Pakhtunkhwa, PK","Pind Kargo Khan, PK","22110, PK"
"Khyber Pakhtunkhwa, PK","Sherwan, PK","22120, PK"
"Khyber Pakhtunkhwa, PK","Chamatti, PK","22130, PK"
"Khyber Pakhtunkhwa, PK","Thandayani, PK","22150, PK"
"Khyber Pakhtunkhwa, PK","Chamyali, PK","22160, PK"
"Khyber Pakhtunkhwa, PK","Gamang, PK","22170, PK"
"Khyber Pakhtunkhwa, PK","Boi, PK","22180, PK"
"Khyber Pakhtunkhwa, PK","Dalola, PK","22190, PK"
"Khyber Pakhtunkhwa, PK","Dhamtaur, PK","22200, PK"
"Khyber Pakhtunkhwa, PK","Bagnotar, PK","22210, PK"
"Khyber Pakhtunkhwa, PK","Tharyati, PK","22220, PK"
"Khyber Pakhtunkhwa, PK","Biran Gali, PK","22230, PK"
"Khyber Pakhtunkhwa, PK","Namli Maira, PK","22250, PK"
"Khyber Pakhtunkhwa, PK","Nagri Bala, PK","22260, PK"
"Khyber Pakhtunkhwa, PK","Kala Bagh (Hazara), PK","22270, PK"
"Khyber Pakhtunkhwa, PK","Nathia Gali, PK","22280, PK"
"Khyber Pakhtunkhwa, PK","Bagan, PK","22290, PK"
"Khyber Pakhtunkhwa, PK","Dunga Gali, PK","22300, PK"
"Khyber Pakhtunkhwa, PK","Ayubia, PK","22310, PK"
"Khyber Pakhtunkhwa, PK","Changla Gali, PK","22320, PK"
"Khyber Pakhtunkhwa, PK","Khaira Gali, PK","22330, PK"
"Khyber Pakhtunkhwa, PK","Nagri Totlial, PK","22350, PK"
"Khyber Pakhtunkhwa, PK","Lora, PK","22360, PK"
"Khyber Pakhtunkhwa, PK","Gambeer, PK","22370, PK"
"Khyber Pakhtunkhwa, PK","Havelian, PK","22500, PK"
"Khyber Pakhtunkhwa, PK","Pak Ordinance Factories Havilian, PK","22510, PK"
"Khyber Pakhtunkhwa, PK","Havelian Ammunation Depot, PK","22520, PK"
"Khyber Pakhtunkhwa, PK","Rajoya, PK","22530, PK"
"Khyber Pakhtunkhwa, PK","Chando Maira, PK","22540, PK"
"Khyber Pakhtunkhwa, PK","Nara, PK","22550, PK"
"Khyber Pakhtunkhwa, PK","Maira Bala, PK","22560, PK"
"Khyber Pakhtunkhwa, PK","Satura, PK","22570, PK"
"Khyber Pakhtunkhwa, PK","Halli, PK","22580, PK"
"Khyber Pakhtunkhwa, PK","Baldher, PK","22584, PK"
"Khyber Pakhtunkhwa, PK","Sarai Saleh, PK","22590, PK"
"Khyber Pakhtunkhwa, PK","Rehana, PK","22600, PK"
"Khyber Pakhtunkhwa, PK","Hattar Industrial Estate, PK","22610, PK"
"Khyber Pakhtunkhwa, PK","Haripur Gpo, PK","22620, PK"
"Khyber Pakhtunkhwa, PK","Haripur Telephone Factory, PK","22630, PK"
"Khyber Pakhtunkhwa, PK","Haripur Central Jail, PK","22640, PK"
"Khyber Pakhtunkhwa, PK","Khanpur (Hazara), PK","22650, PK"
"Khyber Pakhtunkhwa, PK","Baghpur Dheri, PK","22652, PK"
"Khyber Pakhtunkhwa, PK","Kot Najibullah, PK","22660, PK"
"Khyber Pakhtunkhwa, PK","Kangra Township, PK","22680, PK"
"Khyber Pakhtunkhwa, PK","Panian, PK","22690, PK"
"Khyber Pakhtunkhwa, PK","Sarai Gaddai, PK","22694, PK"
"Khyber Pakhtunkhwa, PK","Mankarai, PK","22700, PK"
"Khyber Pakhtunkhwa, PK","Pind Hasham Khan, PK","22710, PK"
"Khyber Pakhtunkhwa, PK","Sarai Niamat Khan, PK","22720, PK"
"Khyber Pakhtunkhwa, PK","Chamhad, PK","22730, PK"
"Khyber Pakhtunkhwa, PK","Kakotri, PK","22750, PK"
"Khyber Pakhtunkhwa, PK","Jarral, PK","22760, PK"
"Khyber Pakhtunkhwa, PK","Bir, PK","22770, PK"
"Khyber Pakhtunkhwa, PK","Badhora, PK","22780, PK"
